award,year,file,url,bytes,work_id,title,page,fetched
Golden Pin,2022,GoldenPin_2022_11_970cedbc_285b668352c863e0430e424372bc3ea7.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/404/285b668352c863e0430e424372bc3ea7.jpg,3116006,404,FEEEEL MACAU 2021,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:08
Golden Pin,2022,GoldenPin_2022_12_87433597_1f9c1ddaa2605ef7bbd2715b221d5df3.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/403/1f9c1ddaa2605ef7bbd2715b221d5df3.jpg,4639690,403,The unbearable lightness,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:17
Golden Pin,2022,GoldenPin_2022_13_d2b92b79_0741a00f307d84a715abc3ce1e559dab.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/402/0741a00f307d84a715abc3ce1e559dab.jpg,1753876,402,PAUSE - Chan Po Fung's Metalsmith Solo Exhibition,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:24
Golden Pin,2022,GoldenPin_2022_14_75414269_1c7e862f8f888e82b0c6044d28e87330.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/401/1c7e862f8f888e82b0c6044d28e87330.jpg,2247924,401,ONE TEA ROOM,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:29
Golden Pin,2022,GoldenPin_2022_15_c684d206_30c9b02ad40cfca9a4ab9e5de1c9c299.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/400/30c9b02ad40cfca9a4ab9e5de1c9c299.jpg,201256,400,"Taiwan National Day 2021 Key Visual: Major League Democracy, Befriending the World",https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:33
Golden Pin,2022,GoldenPin_2022_16_61ee0d87_42672e3c73aec1313bc69a3e103abf44.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/399/42672e3c73aec1313bc69a3e103abf44.jpg,5009586,399,Lamma Mia,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:41
Golden Pin,2022,GoldenPin_2022_17_1d2963a8_0000cf84ea8d09b120c273fbd29dc4c9.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/398/0000cf84ea8d09b120c273fbd29dc4c9.jpg,907331,398,Alishan Forest Railway,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:45
Golden Pin,2022,GoldenPin_2022_18_31a80d58_5322ea1f4c7222041c4494c2a28e8b6e.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/397/5322ea1f4c7222041c4494c2a28e8b6e.jpg,4003180,397,Satellite Exhibitions,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:52
Golden Pin,2022,GoldenPin_2022_01_e16cc567_6b3021ee61bfdef34133913145ee1b91.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/415/6b3021ee61bfdef34133913145ee1b91.jpg,1228555,415,HELLO I AM Z WAVE,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:54:39
Golden Pin,2022,GoldenPin_2022_02_42aecbd7_list_image.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/414/list_image.jpeg,2138162,414,Enjoy the Night,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:54:44
Golden Pin,2022,GoldenPin_2022_03_d8614abb_259440e193294a2fb5e21d5702daaf51.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/413/259440e193294a2fb5e21d5702daaf51.jpg,1541039,413,Pinghu Economic Development Zone Kindergarten,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:54:48
Golden Pin,2022,GoldenPin_2022_04_91587fc5_2e05bf1b9680006d9c135bf28f803993.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/412/2e05bf1b9680006d9c135bf28f803993.jpg,3713078,412,Technical City - visual identity system,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:54:53
Golden Pin,2022,GoldenPin_2022_05_23940807_1fa8176e8d8d02f5b5478836adec5930.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/411/1fa8176e8d8d02f5b5478836adec5930.jpg,4268588,411,RE:RISO Naughty Roll Featured Works Exhibiton,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:55:00
Golden Pin,2022,GoldenPin_2022_06_90cd8428_22b3fd827700dcd785ef600a31b7ceda.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/410/22b3fd827700dcd785ef600a31b7ceda.jpg,2674794,410,MACAO DESIGN WEEK 2021,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:55:05
Golden Pin,2022,GoldenPin_2022_07_cc7c220c_0e87fdbb66f4c8b9ac16ed9bae7ddfb1.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/409/0e87fdbb66f4c8b9ac16ed9bae7ddfb1.jpg,320704,409,VVG VILLAGE BAZAAR BRAND IDENTITY,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:55:09
Golden Pin,2022,GoldenPin_2022_08_877b92e9_0095eacf02a5ed91f084b57f69334d73.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/407/0095eacf02a5ed91f084b57f69334d73.jpg,4572146,407,Taitung Mambo Project,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:55:16
Golden Pin,2022,GoldenPin_2022_09_75de342c_cbbf06f1e16001912e003a8ba3ed43bb.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/406/cbbf06f1e16001912e003a8ba3ed43bb.jpg,359640,406,AOKKA VISUAL IDENTITY AND PACKAGING,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:55:19
Golden Pin,2022,GoldenPin_2022_10_c7529d59_01c9b51e7f0d6aa45e5fa7639962981e.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/405/01c9b51e7f0d6aa45e5fa7639962981e.jpg,884321,405,BREADROCKS,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:55:23
Golden Pin,2022,GoldenPin_2022_11_970cedbc_285b668352c863e0430e424372bc3ea7.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/404/285b668352c863e0430e424372bc3ea7.jpg,3116006,404,FEEEEL MACAU 2021,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:55:28
