award,year,file,url,bytes,category,sub_category,title,creator,page,fetched
Indigo,2023,Indigo_2023_17_be15dda2_midsize-d608c214f5ad61eb85176016b576a793.jpeg,https://indigoawards.s3.amazonaws.com/store/cover/10721/image/midsize-d608c214f5ad61eb85176016b576a793.jpeg,19586,Branding,Technology,"KitaBeli : Reimagine Buying Experience, Together!",Okular Creative,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:24
Indigo,2023,Indigo_2023_18_8798a394_original-e1e7bff2177c4d3ee3cf4e6d41fa766d.gif,https://indigoawards.s3.amazonaws.com/store/cover/11713/image/original-e1e7bff2177c4d3ee3cf4e6d41fa766d.gif,2310982,Branding,Technology,Panda Century Education,Creativeans,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:28
Indigo,2024,Indigo_2024_01_2a57f56b_eqmR8o4Lrj1JpAQ9dibBBPxV,https://d3crlhnriidvt.cloudfront.net/eqmR8o4Lrj1JpAQ9dibBBPxV,21686,Branding,Technology,Future: Here We Go,Grizzly,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:32
Indigo,2024,Indigo_2024_02_6cbc3095_FCGjtY5EMrzMUwo2AxzjEP98,https://d3crlhnriidvt.cloudfront.net/FCGjtY5EMrzMUwo2AxzjEP98,361090,Branding,Technology,Walla: Leap Forward  ,Grizzly,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:34
Indigo,2024,Indigo_2024_03_98917b70_U4K3eprZhKQfiuic26ce2GJx,https://d3crlhnriidvt.cloudfront.net/U4K3eprZhKQfiuic26ce2GJx,793843,Branding,Technology,Snack POS,GCNY Marketing,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:36
Indigo,2024,Indigo_2024_04_26283707_Qc1nT5NdoAj7nsCetC9F7Fuf,https://d3crlhnriidvt.cloudfront.net/Qc1nT5NdoAj7nsCetC9F7Fuf,39517,Branding,Technology,Creatie.ai brand identity,Creatie,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:38
Indigo,2024,Indigo_2024_05_215dd232_3cbazef9bp30rhutbp9c34hxw8i0,https://d3crlhnriidvt.cloudfront.net/3cbazef9bp30rhutbp9c34hxw8i0,827656,Branding,Technology,An identity to reward creativity,Studio Miko,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:40
Indigo,2024,Indigo_2024_06_c8c59719_YJsjxdsiryArk51uM5TVxULV,https://d3crlhnriidvt.cloudfront.net/YJsjxdsiryArk51uM5TVxULV,90281,Branding,Technology,CentML - Revolutionizing Machine Learning,Oddbee Inc.,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:41
Indigo,2024,Indigo_2024_07_c8724232_ubYNYvLw84vNnBtqC37VLL3f,https://d3crlhnriidvt.cloudfront.net/ubYNYvLw84vNnBtqC37VLL3f,380000,Branding,Technology,Launching EVesto: Empowering Success in the EV Industry,Wild Digital ,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:43
Indigo,2024,Indigo_2024_08_e1c1c9f3_xggUNcecDfbAEUK6Le6iBPvc,https://d3crlhnriidvt.cloudfront.net/xggUNcecDfbAEUK6Le6iBPvc,66075,Branding,Technology,COSAC Rebrand,Tiny Hunter,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:44
